,customer_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,quantidade
0,1003,-23.54903244546711,-46.63531311226845,sao paulo,SP,1
17,1004,-23.550115903139226,-46.63512161420169,sao paulo,SP,2
39,1005,-23.549819091869107,-46.63560588995324,sao paulo,SP,6
64,1006,-23.55052430835593,-46.63669363835193,sao paulo,SP,2
73,1007,-23.550392524842728,-46.63730164071784,sao paulo,SP,4
99,1008,-23.54425493154535,-46.634639135589296,sao paulo,SP,4
115,1009,-23.54693540437998,-46.63658792659698,sao paulo,SP,7
156,1011,-23.547639550320632,-46.63603162315495,sao paulo,SP,5
177,1012,-23.547762303364262,-46.63536053788448,são paulo,SP,3
194,1013,-23.546923208436723,-46.6342636964915,sao paulo,SP,3
214,1014,-23.546435343326205,-46.63383023397196,sao paulo,SP,4
268,1015,-23.544826346129778,-46.63086956396899,sao paulo,SP,2
278,1016,-23.54849512877264,-46.633490627676125,sao paulo,SP,1
290,1017,-23.55001091199737,-46.63116636914989,são paulo,SP,3
331,1019,-23.552151883432384,-46.63080224715792,sao paulo,SP,2
356,1020,-23.55223547100232,-46.6284406588955,são paulo,SP,6
422,1021,-23.54516769470249,-46.63224867958328,sao paulo,SP,2
445,1022,-23.54498660505508,-46.63345367485142,sao paulo,SP,1
462,1023,-23.54260295697964,-46.63094283625709,sao paulo,SP,1
482,1024,-23.541389521053937,-46.62989908781218,são paulo,SP,2
489,1025,-23.539920936547933,-46.6283479287932,sao paulo,SP,1
504,1026,-23.539494799586286,-46.63284391414975,são paulo,SP,4
543,1027,-23.538301166801343,-46.63076391104508,sao paulo,SP,3
571,1030,-23.538363904524203,-46.63293009824575,são paulo,SP,3
593,1031,-23.536864121011018,-46.63349313820771,sao paulo,SP,4
624,1032,-23.53841810407414,-46.634778375266734,sao paulo,SP,2
669,1033,-23.54032130474925,-46.636394815973325,sao paulo,SP,6
716,1035,-23.541577961711493,-46.64160722329613,sao paulo,SP,7
755,1036,-23.541700023861782,-46.64131782056096,sao paulo,SP,3
793,1037,-23.54562128115268,-46.63929204800168,sao paulo,SP,3
819,1038,-23.542679676299095,-46.63819683884986,sao paulo,SP,2
828,1041,-23.5443921648681,-46.63949930627844,sao paulo,SP,2
853,1042,-23.54487359810152,-46.64030309449483,sao paulo,SP,6
893,1043,-23.546656718016017,-46.64078762115524,são paulo,SP,1
906,1044,-23.54575105023373,-46.64132693574358,sao paulo,SP,3
924,1045,-23.541593762969622,-46.64189378810082,sao paulo,SP,1
960,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP,18
1101,1047,-23.54627311241268,-46.64122516971552,sao paulo,SP,6
1143,1048,-23.547448918662464,-46.64016924063704,são paulo,SP,7
1187,1049,-23.54530659310986,-46.636994571065735,sao paulo,SP,2
1208,1050,-23.549773516504185,-46.64559900666509,sao paulo,SP,7
1310,1102,-23.52261021648681,-46.62942387523806,são paulo,SP,1
1337,1103,-23.53538864556528,-46.631747708436734,são paulo,SP,6
1377,1105,-23.533744232586976,-46.63063486274458,sao paulo,SP,2
1392,1106,-23.53249635607949,-46.62640566388715,sao paulo,SP,3
1414,1107,-23.522004902014046,-46.63397365860703,sao paulo,SP,3
1433,1108,-23.52375957536492,-46.6324154521322,sao paulo,SP,1
1437,1120,-23.53076048626577,-46.639216010416,sao paulo,SP,3
1481,1121,-23.524588477378973,-46.634392141554585,sao paulo,SP,4
1524,1122,-23.531280767701485,-46.637260391482464,são paulo,SP,7
1599,1123,-23.529307180131543,-46.63490526351788,sao paulo,SP,6
1652,1124,-23.527367392723217,-46.63188348903572,sao paulo,SP,1
1691,1125,-23.529050497085805,-46.63889432139766,sao paulo,SP,3
1726,1127,-23.52773504025041,-46.64480016028046,sao paulo,SP,3
1766,1129,-23.5259237463212,-46.642131776011375,sao paulo,SP,5
1806,1131,-23.52164183207347,-46.64747554830047,sao paulo,SP,8
1868,1132,-23.51929180460501,-46.64980089647412,sao paulo,SP,3
1910,1134,-23.51867680707737,-46.6531159131789,são paulo,SP,3
1945,1135,-23.52122103136361,-46.65296293450282,sao paulo,SP,7
2030,1136,-23.52350959838998,-46.666944167638064,são paulo,SP,1
2068,1137,-23.51957274271452,-46.654271565497176,são paulo,SP,4
2098,1138,-23.5188254074384,-46.65562359824576,sao paulo,SP,5
2144,1139,-23.52076037607479,-46.661384138207694,sao paulo,SP,6
2248,1140,-23.517930174303164,-46.66742959008009,sao paulo,SP,6
2292,1141,-23.52011919677996,-46.66584000098096,são paulo,SP,5
2388,1144,-23.52362350735759,-46.67201579877662,sao paulo,SP,2
2415,1150,-23.532255303364263,-46.662756071469765,sao paulo,SP,5
2470,1151,-23.527788191788307,-46.66030962184773,sao paulo,SP,9
2573,1152,-23.52916893282939,-46.65214846073055,sao paulo,SP,5
2621,1153,-23.52811869885744,-46.65645154579032,são paulo,SP,9
2738,1154,-23.53158118373822,-46.66174681473255,sao paulo,SP,9
2804,1155,-23.52878808243405,-46.664404203300826,sao paulo,SP,4
2885,1156,-23.5298272739339,-46.66466605744709,são paulo,SP,5
2979,1201,-23.53435725950717,-46.64935629739165,sao paulo,SP,7
3045,1202,-23.530243903687488,-46.65091042186511,são paulo,SP,8
3151,1203,-23.537119379681474,-46.64438743865777,sao paulo,SP,5
3205,1204,-23.53680115237462,-46.644416271856414,sao paulo,SP,5
3243,1205,-23.53176047100233,-46.64592571455356,são paulo,SP,1
3272,1206,-23.535535799324883,-46.64305202830518,sao paulo,SP,3
3302,1207,-23.536840620318525,-46.640393035807016,sao paulo,SP,4
3333,1208,-23.540822507357586,-46.6397147149576,sao paulo,SP,1
3372,1209,-23.539446764643067,-46.639378335968615,sao paulo,SP,4
3453,1210,-23.540860990564934,-46.64385528059898,são paulo,SP,6
3493,1211,-23.53582223582903,-46.651605049299015,sao paulo,SP,6
3550,1213,-23.536400280050746,-46.64003758881069,sao paulo,SP,2
3573,1214,-23.53569581346678,-46.64141313885349,sao paulo,SP,6
3634,1215,-23.537982300854097,-46.64927618235323,são paulo,SP,3
3689,1216,-23.53597285667968,-46.651407002063245,sao paulo,SP,5
3737,1217,-23.533844773241405,-46.64940663613022,sao paulo,SP,3
3795,1218,-23.531544680824037,-46.65066866833055,são paulo,SP,5
3861,1219,-23.540223573951277,-46.645277138092126,sao paulo,SP,7
3911,1220,-23.542757999999992,-46.64547398167813,sao paulo,SP,8
3988,1221,-23.54601532944774,-46.64900196003804,sao paulo,SP,10
4088,1222,-23.547159576461446,-46.64989460560333,são paulo,SP,18
4233,1223,-23.54377251788917,-46.6482729970858,sao paulo,SP,11
4397,1224,-23.541718547319537,-46.64883066180968,sao paulo,SP,23
4566,1225,-23.54064714772717,-46.648251782670506,sao paulo,SP,5
4609,1226,-23.534478565641404,-46.65502761740432,são paulo,SP,14
4772,1227,-23.537290117980763,-46.65443089812821,sao paulo,SP,15
4907,1228,-23.54839279655493,-46.659018341392965,sao paulo,SP,12
5065,1229,-23.54108734139297,-46.65733920275257,sao paulo,SP,18
5220,1230,-23.532734734664448,-46.654324449073776,sao paulo,SP,25
5450,1231,-23.5367081559813,-46.6596418411045,sao paulo,SP,12
5586,1232,-23.53676737440136,-46.65507313113856,sao paulo,SP,13
5801,1233,-23.540299470713855,-46.66278360519932,sao paulo,SP,8
5898,1234,-23.537055499855768,-46.66361722052618,sao paulo,SP,6
5951,1235,-23.53645971856428,-46.66424678602334,sao paulo,SP,2
5975,1237,-23.544317693577312,-46.66982279920932,sao paulo,SP,1
5983,1238,-23.54195269441404,-46.65931762155928,sao paulo,SP,14
6147,1239,-23.548781693029053,-46.65745981155857,sao paulo,SP,10
6299,1240,-23.54378694284137,-46.65861209437926,sao paulo,SP,15
6429,1241,-23.54567660866176,-46.6569934730798,são paulo,SP,6
6506,1242,-23.547526626983625,-46.65580327269316,sao paulo,SP,7
6560,1243,-23.54946977906979,-46.65509829793992,sao paulo,SP,10
6656,1244,-23.54499336358131,-46.65968022344037,sao paulo,SP,6
6755,1246,-23.55259069386578,-46.6664048798257,sao paulo,SP,1
6772,1248,-23.547307547319537,-46.66789155107045,sao paulo,SP,1
6789,1250,-23.548106335564583,-46.67255083804609,sao paulo,SP,2
6818,1251,-23.54700826311385,-46.67399273506846,são paulo,SP,3
6836,1252,-23.54173205190716,-46.67710841548848,sao paulo,SP,6
6882,1253,-23.54320796973291,-46.680244701079125,sao paulo,SP,1
6889,1254,-23.54196785483874,-46.68191419135562,são paulo,SP,3
6928,1255,-23.545782460730543,-46.68119826089217,sao paulo,SP,2
6955,1256,-23.54856753595123,-46.683293049685474,são paulo,SP,1
6961,1257,-23.54507217346644,-46.68438057799065,sao paulo,SP,13
7058,1258,-23.54499310130417,-46.685597180824026,sao paulo,SP,18
7219,1259,-23.54335652677597,-46.683946373016354,sao paulo,SP,5
7305,1301,-23.550812799901816,-46.65525802969017,sao paulo,SP,7
7373,1302,-23.547650962519555,-46.64357747515727,sao paulo,SP,6
7432,1303,-23.55001132944774,-46.64818240521669,sao paulo,SP,13
7598,1304,-23.55217944962204,-46.652991998615015,sao paulo,SP,7
7644,1305,-23.556083049685476,-46.658022684978974,sao paulo,SP,3
7686,1306,-23.55433380183505,-46.64967363918865,sao paulo,SP,21
7916,1307,-23.549360699694148,-46.65412441687346,sao paulo,SP,29
8227,1308,-23.555182505135885,-46.65226234401868,sao paulo,SP,11
8370,1309,-23.557323688585655,-46.65692890729416,são paulo,SP,12
8485,1310,-23.556926913670807,-46.6615417904381,sao paulo,SP,15
8720,1311,-23.560566359426364,-46.65761042867444,sao paulo,SP,27
9029,1312,-23.55364600943506,-46.64827785290551,sao paulo,SP,9
9119,1313,-23.556513287803007,-46.65025319729151,sao paulo,SP,13
9260,1314,-23.550271219805023,-46.641530430203645,sao paulo,SP,5
9333,1315,-23.552592988343235,-46.64068338732753,sao paulo,SP,13
9408,1316,-23.55298158090484,-46.63977389064573,sao paulo,SP,10
9465,1317,-23.56281094772712,-46.64538049222014,sao paulo,SP,16
9593,1318,-23.56503810268915,-46.64731633542034,sao paulo,SP,8
9700,1319,-23.55156260866176,-46.64021297307979,são paulo,SP,5
9790,1320,-23.557337937272795,-46.63877749362335,sao paulo,SP,2
9819,1321,-23.55896103857696,-46.64089188579832,sao paulo,SP,16
9986,1322,-23.564189902302505,-46.64356963725542,sao paulo,SP,18
10125,1323,-23.56360092810872,-46.64096891541434,sao paulo,SP,10
10221,1324,-23.551359454065437,-46.64339075477531,sao paulo,SP,1
10286,1325,-23.56040415015292,-46.64409070038665,sao paulo,SP,4
10331,1326,-23.558908285042403,-46.64517207853889,sao paulo,SP,3
10373,1327,-23.56521929669917,-46.6451517253736,sao paulo,SP,11
10474,1328,-23.55542941271852,-46.64533779225576,sao paulo,SP,4
10518,1329,-23.563145744936214,-46.64661879892085,sao paulo,SP,12
10597,1330,-23.556817623925213,-46.64986083625707,sao paulo,SP,6
10679,1331,-23.562327520947598,-46.6503277425703,sao paulo,SP,5
10785,1332,-23.559874596168275,-46.65312715543304,sao paulo,SP,2
10877,1333,-23.56356993894623,-46.65184216708981,sao paulo,SP,7
11001,1401,-23.569747571977175,-46.65100357197719,sao paulo,SP,9
11084,1402,-23.58406691212703,-46.66998067037748,sao paulo,SP,3
11158,1403,-23.57034735804139,-46.65315099653755,são paulo,SP,17
11439,1404,-23.56994326977895,-46.657093704685806,sao paulo,SP,11
11525,1405,-23.566964123780973,-46.65698270719597,sao paulo,SP,10
11646,1406,-23.56582006549717,-46.65801073994457,são paulo,SP,2
11690,1407,-23.5784800999192,-46.67516750652087,sao paulo,SP,9
11789,1408,-23.569438714409333,-46.66342129141903,sao paulo,SP,8
11910,1409,-23.5613664276935,-46.657593869005645,sao paulo,SP,15
12092,1410,-23.558595737434405,-46.65657075535223,sao paulo,SP,14
12215,1411,-23.568546850380155,-46.66483313596545,sao paulo,SP,10
12327,1412,-23.5644233366611,-46.66684085068379,são paulo,SP,2
12346,1413,-23.55863183097696,-46.66070142630853,são paulo,SP,3
12385,1414,-23.56362276547979,-46.667603824167614,são paulo,SP,4
12506,1415,-23.551840037191976,-46.65455309547579,sao paulo,SP,29
12825,1416,-23.55951039494492,-46.66706390175425,sao paulo,SP,12
12968,1417,-23.48850962531019,-46.714606281435714,sao paulo,SP,5
13054,1418,-23.56312173510022,-46.656566708353616,sao paulo,SP,2
13118,1419,-23.557767998615013,-46.662673347769605,sao paulo,SP,18
13295,1420,-23.56851813765943,-46.65191532569683,sao paulo,SP,12
13462,1421,-23.562331512897508,-46.66120425339033,são paulo,SP,11
13572,1422,-23.55978441771017,-46.6660792610364,sao paulo,SP,15
13721,1423,-23.568918203156603,-46.656995139736914,sao paulo,SP,28
13929,1424,-23.56816235942637,-46.66117892867444,sao paulo,SP,17
14065,1425,-23.572330354982963,-46.66082327699232,sao paulo,SP,4
14195,1426,-23.562597147293012,-46.66968807621716,sao paulo,SP,1
14250,1427,-23.573515117952592,-46.66112293352187,são paulo,SP,2
14288,1429,-23.57524108520401,-46.66307398459231,são paulo,SP,3
14299,1430,-23.881629353829144,-46.643818799723405,sao paulo,SP,2
14310,1431,-23.578166638380598,-46.66288281851213,sao paulo,SP,1
14323,1432,-23.574420691644068,-46.66422198695826,sao paulo,SP,1
14342,1433,-23.58188488758732,-46.66848679753589,são paulo,SP,3
14369,1434,-23.57791700859833,-46.66945260115993,sao paulo,SP,4
14398,1435,-23.579681908967608,-46.66963177269314,sao paulo,SP,2
14474,1438,-23.570325577009708,-46.67299258050082,sao paulo,SP,1
14484,1440,-23.56448527782904,-46.674418610595005,sao paulo,SP,1
14508,1442,-23.56370226740048,-46.67529085698279,sao paulo,SP,4
14538,1443,-23.56750865000869,-46.68471805799536,sao paulo,SP,1
14577,1444,-23.605675658895493,-46.74544468220901,sao paulo,SP,2
14596,1445,-23.568346382739897,-46.68910543089613,sao paulo,SP,3
14617,1447,-23.572517679150597,-46.680710766460734,sao paulo,SP,2
14631,1448,-23.57741669608748,-46.67817482139765,sao paulo,SP,3
14660,1449,-23.576292199001667,-46.68142310352587,sao paulo,SP,1
14691,1450,-23.574925477927227,-46.68505199999999,sao paulo,SP,2
14720,1451,-23.583489065785624,-46.68508055092622,sao paulo,SP,19
14903,1452,-23.56883153079836,-46.69199439364803,sao paulo,SP,13
15056,1453,-23.583435663338896,-46.68646270038665,sao paulo,SP,14
15173,1454,-23.582148872612336,-46.68638063183105,sao paulo,SP,14
15271,1455,-23.580690704974277,-46.68751888037395,sao paulo,SP,9
15432,1456,-23.578504155433038,-46.690118296987634,sao paulo,SP,4
15464,1457,-23.57883550069249,-46.69092820399332,sao paulo,SP,1
15491,1501,-23.5519314837556,-46.63569089731083,são paulo,SP,5
15530,1502,-23.55498324839867,-46.63569905288812,sao paulo,SP,1
15546,1503,-23.555488240827945,-46.63559923847351,são paulo,SP,6
15607,1504,-23.56375858312654,-46.63899210115993,sao paulo,SP,11
15715,1505,-23.555396514570944,-46.6328610313636,são paulo,SP,2
15725,1506,-23.56180273327946,-46.63479182904371,são paulo,SP,5
15761,1507,-23.558197452680457,-46.63164907507647,são paulo,SP,3
15803,1508,-23.56014607245072,-46.633346125858445,sao paulo,SP,16
15898,1509,-23.567590529834398,-46.63545150721337,sao paulo,SP,7
15990,1510,-23.55619865667379,-46.63344748251487,sao paulo,SP,2
16028,1511,-23.555682314184303,-46.63309991286275,sao paulo,SP,10
16101,1512,-23.553644898695826,-46.63261889578163,sao paulo,SP,7
16184,1513,-23.556895554532897,-46.63100370483005,sao paulo,SP,1
16208,1514,-23.55306435468261,-46.62768625580495,sao paulo,SP,3
16251,1516,-23.55948466195392,-46.61446206064973,sao paulo,SP,7
16287,1517,-23.560247933666105,-46.624831454209655,sao paulo,SP,3
16303,1518,-23.558930444630374,-46.62292373757862,sao paulo,SP,1
16326,1519,-23.56007528864907,-46.62182990175425,sao paulo,SP,3
16350,1520,-23.559238666108847,-46.61831887996994,sao paulo,SP,9
16441,1521,-23.56012381877193,-46.62080822384439,sao paulo,SP,5
16479,1522,-23.55916467499565,-46.61546691825843,sao paulo,SP,4
16520,1523,-23.56366379462169,-46.61929091188178,sao paulo,SP,3
16565,1524,-23.5670455434244,-46.61611199999999,sao paulo,SP,2
16596,1525,-23.567008903139214,-46.63752874701368,sao paulo,SP,14
16700,1526,-23.56690212960936,-46.6300592031566,sao paulo,SP,12
16832,1527,-23.563144561198005,-46.62658014155458,sao paulo,SP,12
16916,1528,-23.563268623088483,-46.62567806771887,sao paulo,SP,3
16964,1529,-23.569353157366287,-46.63690014002537,sao paulo,SP,12
17115,1530,-23.586145389375964,-46.72796029067322,sao paulo,SP,4
17195,1531,-23.570124170696488,-46.63265515860704,sao paulo,SP,4
17275,1532,-23.572060847625384,-46.636136837497816,sao paulo,SP,16
17473,1533,-23.57219854010617,-46.63913109824576,sao paulo,SP,6
17545,1534,-23.56284740383172,-46.62391126354653,sao paulo,SP,9
17625,1535,-23.569618023313524,-46.62490078227243,sao paulo,SP,5
17713,1536,-23.56253963239443,-46.622343972359054,sao paulo,SP,7
17810,1537,-23.569022776299825,-46.62199066665712,sao paulo,SP,4
17854,1538,-23.573205,-46.62290025,são paulo,SP,3
17882,1539,-23.573782561198005,-46.62058066708981,sao paulo,SP,4
17918,1540,-23.56461420122337,-46.62049830030583,sao paulo,SP,2
17952,1541,-23.568722298084143,-46.61880092397124,sao paulo,SP,5
17987,1542,-23.57081105190717,-46.62114560866177,sao paulo,SP,1
18036,1543,-23.575755845951942,-46.62009625506377,sao paulo,SP,6
18087,1544,-23.576922503462445,-46.622911919095145,sao paulo,SP,12
18171,1545,-23.581373061053768,-46.6178758329102,sao paulo,SP,2
18217,1546,-23.576252951151247,-46.62235967583239,são paulo,SP,5
18272,1547,-23.58202355453289,-46.62322245045877,sao paulo,SP,7
18301,1548,-23.578346556754592,-46.614710870390624,sao paulo,SP,11
18378,1549,-23.57732126894224,-46.61708484846209,sao paulo,SP,4
18450,1550,-23.57203616319466,-46.61521226741304,sao paulo,SP,1
18485,1551,-23.576649380518187,-46.61216232569684,sao paulo,SP,4
18523,1552,-23.573835900917526,-46.61101337290079,sao paulo,SP,9
18582,2010,-23.514929559813023,-46.62640583152521,são paulo,SP,2
18609,2011,-23.50190277027253,-46.626229169812845,sao paulo,SP,2
18626,2012,-23.50836123028566,-46.62752418968636,sao paulo,SP,4
18668,2013,-23.5030857485429,-46.63382294171621,sao paulo,SP,14
18785,2016,-23.50097763469062,-46.62712333406575,sao paulo,SP,4
18827,2017,-23.501381250870143,-46.639206505591815,são paulo,SP,8
18918,2018,-23.493511048012017,-46.63106708174157,sao paulo,SP,8
18992,2019,-23.498262,-46.62855053996195,sao paulo,SP,2
19014,2020,-23.499083916977654,-46.63226647191997,sao paulo,SP,6
19104,2021,-23.499439994171624,-46.63380353274858,sao paulo,SP,12
19205,2022,-23.50623786745398,-46.64043238758518,são paulo,SP,18
19349,2029,-23.510936587354013,-46.62008933890293,sao paulo,SP,4
19374,2031,-23.51506899745697,-46.6253165150725,sao paulo,SP,3
19380,2033,-23.50215379349651,-46.61688101249347,sao paulo,SP,11
19438,2034,-23.50412273877685,-46.6246075311652,sao paulo,SP,1
19480,2035,-23.500395,-46.62233251442673,são paulo,SP,8
19531,2036,-23.50210750375091,-46.62196127699232,sao paulo,SP,4
19578,2037,-23.499986521784315,-46.618730413266775,sao paulo,SP,6
19634,2038,-23.49857049347913,-46.6233534590571,sao paulo,SP,5
19676,2039,-23.49231066388715,-46.6205286217035,sao paulo,SP,1
19707,2040,-23.489022991949916,-46.62186690299499,sao paulo,SP,5
19762,2041,-23.49010232139766,-46.61972998972821,sao paulo,SP,2
19795,2042,-23.48802239938832,-46.61900150236592,sao paulo,SP,5
19835,2043,-23.490223040798668,-46.61732558589649,sao paulo,SP,6
19895,2044,-23.49568082347514,-46.61894670690752,sao paulo,SP,5
19922,2045,-23.494406023962647,-46.617320553160994,sao paulo,SP,1
19952,2046,-23.48774784542202,-46.61152878400604,sao paulo,SP,7
19981,2050,-23.51654350320264,-46.61056315903973,são paulo,SP,7
20025,2051,-23.51226773910784,-46.60874803052688,sao paulo,SP,1
20049,2052,-23.509466926452752,-46.606867502077456,sao paulo,SP,1
20058,2053,-23.510427444341925,-46.60117949988444,sao paulo,SP,8
20078,2054,-23.51636255037796,-46.60569249861501,sao paulo,SP,4
20112,2055,-23.512952943937883,-46.6083024672514,sao paulo,SP,3
20133,2056,-23.510640635581964,-46.6040934060534,são paulo,SP,1
20152,2060,-23.51886128198398,-46.60382280391252,sao paulo,SP,7
20186,2064,-23.519807581453097,-46.5960457342604,sao paulo,SP,3
20204,2066,-23.508759080212357,-46.602973042876144,sao paulo,SP,7
20278,2067,-23.505895624473467,-46.60638997293555,sao paulo,SP,4
20318,2071,-23.50313753733621,-46.609684480437394,sao paulo,SP,6
20348,2072,-23.500810509290837,-46.60427196058632,sao paulo,SP,6
20417,2073,-23.501230323619367,-46.60751038343238,sao paulo,SP,1
20451,2074,-23.509075809596663,-46.59346383582438,sao paulo,SP,2
20490,2075,-23.502028505135893,-46.60034967291817,sao paulo,SP,8
20561,2076,-23.50692178074323,-46.5989496135092,sao paulo,SP,1
20591,2077,-23.501001111575956,-46.59626327601136,sao paulo,SP,1
20620,2078,-23.502460609498485,-46.59374588980903,sao paulo,SP,3
20661,2079,-23.50036682653355,-46.60264059824574,sao paulo,SP,3
20689,2080,-23.49781772078598,-46.60657423175024,sao paulo,SP,1
20701,2081,-23.49664721787179,-46.6050361851232,sao paulo,SP,2
20718,2082,-23.49467072799935,-46.609653122396,sao paulo,SP,9
20774,2083,-23.49552085567545,-46.599274267557256,sao paulo,SP,6
20838,2084,-23.495675029141907,-46.59947756924808,sao paulo,SP,1
20862,2110,-23.52188843014645,-46.59374225679054,sao paulo,SP,1
20880,2111,-23.515789212043405,-46.59197639370417,sao paulo,SP,9
20917,2112,-23.512668178041054,-46.58665534166385,são paulo,SP,2
20963,2113,-23.51528796497884,-46.58734465236856,sao paulo,SP,4
20987,2114,-23.522853341941214,-46.59177958367481,sao paulo,SP,1
21026,2115,-23.526499508561297,-46.59188593503609,sao paulo,SP,1
21051,2117,-23.52019456333894,-46.593538927981854,sao paulo,SP,2
21091,2118,-23.51661167998731,-46.59476458159733,sao paulo,SP,3
21107,2119,-23.513593871775623,-46.59299115736628,sao paulo,SP,2
21136,2120,-23.510416629107844,-46.594217747359366,são paulo,SP,2
21163,2121,-23.51181353788448,-46.58921527477062,sao paulo,SP,1
21182,2122,-23.513172191788303,-46.58263962184772,sao paulo,SP,7
21215,2123,-23.510773697472448,-46.57804828074323,sao paulo,SP,1
21238,2124,-23.50636475575626,-46.58066375575627,sao paulo,SP,2
21314,2125,-23.507957137111184,-46.58846138051819,sao paulo,SP,5
